ACE2,Other
ADR1,Other
AG,MADS
AGL3,MADS
AHR,PAS domain factors
AIRE,AIRE
ALX1,Paired-related HD factors
ANDR,Steroid hormone receptors (NR3)
AP2A,AP-2
AP2B,AP-2
AP2C,AP-2
ARI5B,ARID-related factors
ARNT,PAS domain factors
ARNT::HIF1A,PAS
ARR10,Myb/SANT
ASH1,GATA-type
ATF1,CREB-related factors
ATF2,Jun-related factors
ATF3,Fos-related factors
ATF6A,CREB-related factors
ATHB-5,Homeo
ATOH1,Tal-related factors
Abd-B,HOX-related
Ahr::Arnt,PAS
Antp,HOX-related
Ar,Hormone-nuclear
Arid3a,ARID-related
Arnt,PAS
B-H1,HOX-related
B-H2,HOX-related
BACH1,Jun-related factors
BAS1,Myb/SANT
BATF,B-ATF-related factors
BC11A,Factors with multiple dispersed zinc fingers
BCL6,More than 3 adjacent zinc finger factors
BHE40,Hairy-related factors
BMAL1,PAS domain factors
Bgb::run,Runt-related
CDX1,HOX-related factors
CDX2,HOX-related factors
CDX4,HOX-related factors
CEBPA,C/EBP-related
CEBPA,Leucine
CEBPB,C/EBP-related
CEBPD,C/EBP-related
CEBPE,C/EBP-related
CEBPG,C/EBP-related
COE1,Early B-Cell Factor-related factors
COT1,RXR-related receptors (NR2)
COT2,RXR-related receptors (NR2)
CREB1,CREB-related
CREB1,CREB-related factors
CREB1,Leucine
CREM,CREB-related factors
CRX,Paired-related HD factors
CRZ1,Other
CTCF,More
CTCF,More than 3 adjacent zinc finger factors
CTCFL,More than 3 adjacent zinc finger factors
CUX1,HD-CUT factors
Cebpa,Leucine
Cf2,Factors
DAL80,GATA-type
DBP,C/EBP-related
DDIT3,C/EBP-related
DLX3,NK-related factors
DOT6,Myb/SANT
Ddit3::Cebpa,C/EBP-related
Deaf1,DEAF
Dfd,HOX-related
Dof2,Dof-type
Dof3,Dof-type
Dr,NK-related
E2F1,E2F
E2F1,E2F-related factors
E2F2,E2F-related factors
E2F3,E2F-related factors
E2F4,E2F-related factors
E2F5,E2F-related factors
E2F6,E2F-related factors
EBF1,Helix-Loop-Helix
ECM23,GATA-type
EGR1,Three-zinc finger Krüppel-related factors
EGR2,Three-zinc finger Krüppel-related factors
EHF,Ets-related factors
ELF1,Ets-related factors
ELF2,Ets-related factors
ELF5,Ets
ELK1,Ets
ELK1,Ets-related factors
ELK4,Ets
ELK4,Ets-related factors
ERG,Ets-related factors
